"","month","year","X","monthlyavgTa","monthlyQin","exceedanceprobTa","exceedanceprobQin","jointexceedanceprob","p"
"1","January","2014","363","12.2","26211","0.125","0.0416666666666667","0.005208333","0.01"
"2","January","2004","353"," 6.8","18424","0.0416666666666667","0.916666666666667","0.038194444","0.10"
"3","January","2012","361"," 9.2","47970","0.666666666666667","0.25","0.166666667","0.50"
"4","January","2010","359"," 7.7","50721","0.75","0.625","0.468750000","0.90"
"5","January","2008","357"," 5.6","53194","0.833333333333333","1","0.833333333","0.99"
"6","February","1995","270","12.5","25912","0.173913043478261","0.0869565217391304","0.01512287","0.01"
"7","February","2003","278","10.3","14143","0.0434782608695652","0.391304347826087","0.01701323","0.10"
"8","February","2004","279"," 8.5","35189","0.347826086956522","0.739130434782609","0.25708885","0.50"
"9","February","2009","284"," 8.0","47712","0.869565217391304","0.782608695652174","0.68052930","0.90"
"10","February","1998","273"," 6.8","47539","0.826086956521739","1","0.82608696","0.99"
"11","March","1997","569","13.7"," 7544","0.0416666666666667","0.291666666666667","0.01215278","0.01"
"12","March","2001","573","14.1","31287","0.25","0.125","0.03125000","0.10"
"13","March","1996","568","12.8","35347","0.375","0.458333333333333","0.17187500","0.50"
"14","March","2012","584"," 9.1","46070","0.833333333333333","0.916666666666667","0.76388889","0.90"
"15","March","2006","578"," 6.8","49497","0.916666666666667","1","0.91666667","0.99"
"16","April","2016","72","17.1","21217","0.25","0.0833333333333333","0.02083333","0.01"
"17","April","2009","65","15.0","15167","0.0833333333333333","0.416666666666667","0.03472222","0.10"
"18","April","1999","55","14.0","31677","0.375","0.541666666666667","0.20312500","0.50"
"19","April","2010","66","11.4","38818","0.583333333333333","0.958333333333333","0.55902778","0.90"
"20","April","2006","62","12.7","61743","0.916666666666667","0.875","0.80208333","0.99"
"21","May","2001","648","23.0","32268","0.304347826086957","0.0434782608695652","0.01323251","0.01"
"22","May","2014","661","21.4","43288","0.608695652173913","0.0869565217391304","0.05293006","0.10"
"23","May","2011","658","15.9","31868","0.260869565217391","0.91304347826087","0.23818526","0.50"
"24","May","1994","641","19.1","64397","0.956521739130435","0.521739130434783","0.49905482","0.90"
"25","May","1998","645","12.9","51357","0.782608695652174","1","0.78260870","0.99"
"26","June","2015","513","28.0","31157","0.208333333333333","0.0416666666666667","0.008680556","0.01"
"27","June","2005","503","20.4","16647","0.0416666666666667","1","0.041666667","0.10"
"28","June","2016","514","25.1","53715","0.708333333333333","0.333333333333333","0.236111111","0.50"
"29","June","2009","507","23.1","65025","0.958333333333333","0.583333333333333","0.559027778","0.90"
"30","June","1997","495","22.9","69092","1","0.708333333333333","0.708333333","0.99"
"31","July","1994","418","29.3","17423","0.0416666666666667","0.25","0.01041667","0.01"
"32","July","2013","437","29.4","31487","0.166666666666667","0.166666666666667","0.02777778","0.10"
"33","July","1996","420","29.0","51840","0.625","0.291666666666667","0.18229167","0.50"
"34","July","1995","419","25.7","52066","0.666666666666667","1","0.66666667","0.90"
"35","July","2011","435","26.0","55905","0.833333333333333","0.875","0.72916667","0.99"
"36","August","2012","142","29.3","26795","0.25","0.0416666666666667","0.01041667","0.01"
"37","August","2014","144","27.6","18287","0.0833333333333333","0.333333333333333","0.02777778","0.10"
"38","August","2002","132","27.3","27636","0.333333333333333","0.5","0.16666667","0.50"
"39","August","1999","129","25.6","40185","0.625","1","0.62500000","0.90"
"40","August","1997","127","26.1","67134","1","0.916666666666667","0.91666667","0.99"
"41","September","2012","880","26.6","25452","0.375","0.0416666666666667","0.01562500","0.01"
"42","September","1994","862","24.8","10788","0.0833333333333333","0.541666666666667","0.04513889","0.10"
"43","September","2015","883","24.6","20764","0.208333333333333","0.625","0.13020833","0.50"
"44","September","2005","873","22.8","43270","0.916666666666667","0.875","0.80208333","0.90"
"45","September","1997","865","23.0","68126","1","0.833333333333333","0.83333333","0.99"
"46","October","2015","809","20.7","22373","0.0833333333333333","0.0833333333333333","0.006944444","0.01"
"47","October","1994","788","17.9","13317","0.0416666666666667","0.625","0.026041667","0.10"
"48","October","2008","802","18.6","30853","0.416666666666667","0.416666666666667","0.173611111","0.50"
"49","October","1998","792","17.7","46925","0.958333333333333","0.708333333333333","0.678819444","0.90"
"50","October","1997","791","17.1","70890","1","0.875","0.875000000","0.99"
"51","November","2013","734","13.8","25260","0.0833333333333333","0.125","0.01041667","0.01"
"52","November","2007","728","14.0","30987","0.25","0.0833333333333333","0.02083333","0.10"
"53","November","2012","733","12.3","40947","0.416666666666667","0.5","0.20833333","0.50"
"54","November","2006","727","10.9","52912","0.958333333333333","0.75","0.71875000","0.90"
"55","November","2010","731","10.7","60743","1","0.791666666666667","0.79166667","0.99"
"56","December","2013","216"," 9.3","28408","0.0434782608695652","0.304347826086957","0.01323251","0.01"
"57","December","1996","199"," 8.9","36389","0.130434782608696","0.391304347826087","0.05103970","0.10"
"58","December","2006","209"," 8.4","44932","0.521739130434783","0.434782608695652","0.22684310","0.50"
"59","December","2007","210"," 6.8","48045","0.739130434782609","0.91304347826087","0.67485822","0.90"
"60","December","1998","201"," 7.0","63356","1","0.739130434782609","0.73913043","0.99"
